,Numero,TypeVoie,NbPieces,No_plan,prixm2,lon,lat,score_commerce,score_commerce_lux
28349,12.0,RUE,3.0,9,8.52,2.392692,48.867619,0.08490566037735849,0.06666666666666667
28350,57.0,AV,3.0,58,5.737704,2.395774,48.865105,0.08490566037735849,0.06666666666666667
28351,17.0,RUE,2.0,28,13.594444,2.378173,48.877634,0.03773584905660377,0.0
28352,3.0,RUE,2.0,26,10.0,2.387542,48.877206,0.05660377358490566,0.0
28353,28.0,AV,4.0,59,8.894736,2.380296,48.88439,0.25471698113207547,0.06666666666666667
28354,251.0,RUE,3.0,92,9.691803,2.397431,48.866026,0.09433962264150944,0.03333333333333333
28355,16.0,RUE,1.0,22,7.666666,2.381799,48.875375,0.14150943396226415,0.16666666666666666
28356,12.0,RUE,3.0,32,9.146341,2.378584,48.872431,0.41509433962264153,0.3333333333333333
28357,99.0,RUE,3.0,57,9.302325,2.400582,48.868229,0.12264150943396226,0.1
28358,6.0,RUE,2.0,79,8.695652,2.376662,48.888255,0.08490566037735849,0.0
28359,33.0,RUE,1.0,32,8.571428,2.387631,48.876552,0.46226415094339623,0.5666666666666667
28360,9.0,AV,3.0,81,9.767441,2.389574,48.863519,0.0660377358490566,0.03333333333333333
28361,35.0,RUE,3.0,62,6.8,2.390726,48.877965,0.05660377358490566,0.0
28362,40.0,RUE,2.0,92,9.88372,2.398746,48.86285,0.0660377358490566,0.0
28363,132.0,BD,2.0,10,11.16,2.395396,48.855662,0.08490566037735849,0.03333333333333333
28364,132.0,BD,1.0,10,10.944444,2.395396,48.855662,0.08490566037735849,0.03333333333333333
28365,19.0,PAS,2.0,84,8.431818,2.401653,48.872541,0.09433962264150944,0.0
28366,19.0,PAS,1.0,84,8.730357,2.401653,48.872541,0.09433962264150944,0.0
28367,87.0,RUE,4.0,35,9.391304,2.407374,48.872639,0.02830188679245283,0.0
28368,55.0,AV,4.0,7,8.173076,2.375842,48.884418,0.25471698113207547,0.06666666666666667
28369,18.0,RUE,1.0,30,8.836896,2.387613,48.885999,0.27358490566037735,0.1
28370,68.0,RUE,3.0,42,9.470588,2.37641,48.883142,0.25471698113207547,0.06666666666666667
28371,68.0,RUE,2.0,42,9.834439,2.37641,48.883142,0.25471698113207547,0.06666666666666667
28372,27.0,RUE,2.0,6,10.548076,2.371781,48.879645,0.1320754716981132,0.06666666666666667
28373,120.0,AV,2.0,13,8.133333,2.404784,48.872329,0.02830188679245283,0.0
28374,22.0,RUE,3.0,107,8.955223,2.38374,48.876026,0.14150943396226415,0.16666666666666666
28375,82.0,RUE,2.0,13,11.625,2.384495,48.873589,1.0,0.8
28376,290.0,RUE,2.0,76,9.134615,2.393472,48.870905,0.09433962264150944,0.0
28377,8.0,RUE,3.0,24,8.515636,2.40037,48.8781,0.018867924528301886,0.0
28378,36.0,RUE,1.0,12,8.035714,2.39787,48.854484,0.08490566037735849,0.03333333333333333
28379,1.0,RUE,2.0,219,10.087234,2.380969,48.869271,0.1792452830188679,0.0
28380,10.0,RUE,2.0,163,10.869565,2.390883,48.880402,0.018867924528301886,0.03333333333333333
28381,50.0,RUE,1.0,11,7.931034,2.406373,48.85188,0.1320754716981132,0.03333333333333333
28382,3.0,RUE,1.0,20,10.375,2.386488,48.864366,0.018867924528301886,0.0
28383,86.0,RUE,1.0,29,33.25,2.405475,48.852496,0.1320754716981132,0.03333333333333333
28384,86.0,RUE,2.0,29,11.083333,2.405475,48.852496,0.1320754716981132,0.03333333333333333
28385,86.0,RUE,2.0,29,8.545454,2.405475,48.852496,0.1320754716981132,0.03333333333333333
28386,7.0,RUE,3.0,59,8.378378,2.366852,48.885032,0.42452830188679247,0.0
28387,19.0,RUE,1.0,36,9.722222,2.384059,48.875235,0.14150943396226415,0.16666666666666666
28388,4.0,RUE,1.0,43,23.695652,2.382336,48.890747,0.009433962264150943,0.0
28389,4.0,RUE,2.0,43,16.029411,2.382336,48.890747,0.009433962264150943,0.0
28390,4.0,RUE,4.0,43,9.05,2.382336,48.890747,0.009433962264150943,0.0
28391,34.0,RUE,2.0,35,8.609677,2.373632,48.8912,0.12264150943396226,0.03333333333333333
28392,52.0,RUE,2.0,17,8.75,2.393481,48.87228,0.0660377358490566,0.03333333333333333
